V1	V2
21.726192	-32.266766
21.206982	-31.643988
20.336214	-29.643179
18.999252	-29.845947
21.849653	-31.358648
21.190392	-30.615082
21.706993	-30.83081
23.228357	-34.48572
22.514456	-33.23291
21.171434	-33.047935
22.445011	-33.661583
21.75929	-32.879143
23.915735	-34.157734
20.49873	-32.82842
20.832129	-31.238684
23.6883	-33.967236
22.808119	-33.588543
21.45987	-32.783844
23.314035	-31.313288
22.717915	-31.188396
23.302073	-33.25578
22.82832	-33.8179
22.650093	-32.05659
22.541016	-28.391582
19.004608	31.97155
21.527103	-31.037071
24.304964	-29.552305
18.931835	32.209686
22.311836	-31.200518
22.858782	-34.10624
21.432245	-33.14767
23.50764	-33.43332
18.911549	31.968395
23.02742	-29.54678
23.239992	-33.173164
18.877686	32.027634
21.68288	-30.679018
21.79921	-33.161827
22.587128	-28.286232
22.78572	-31.489008
22.59204	-28.319206
23.854616	-32.419037
21.667616	-33.45977
22.345268	-30.888775
19.526201	32.054794
22.81691	-33.106567
22.408978	-30.015299
19.462208	-31.06368
21.383266	-31.869333
18.939394	-29.453371
19.07357	-30.059372
22.75398	-34.00311
17.400867	29.935236
17.39974	30.314045
23.115961	-31.398296
22.309221	-30.150265
7.051065	-14.544284
21.392921	-33.981724
19.895458	-31.181568
17.489046	30.052237
19.503094	32.098793
23.24272	-30.047646
22.760979	-27.989607
20.553741	-29.749311
19.179392	31.863234
19.78956	31.773058
18.986105	31.703415
20.555754	-32.199867
21.455877	-30.545517
18.047653	30.727478
19.138607	31.88366
22.040005	-31.319313
21.760143	-30.510046
24.09134	-33.423515
22.139963	-28.016361
18.92122	32.088417
19.319263	31.774288
21.741308	-33.614456
18.553707	31.477427
22.723442	-27.852283
18.938192	-31.93597
22.596783	-30.77106
19.114729	31.734777
7.5633707	43.57502
21.728502	-35.077087
19.164444	31.808489
11.664556	-40.545227
23.62661	-29.853437
19.161924	31.7358
23.110224	-34.813896
8.624326	44.054337
22.317278	-30.411272
23.076145	-34.748966
19.770952	32.256756
21.484531	-29.656595
19.41228	-30.916697
18.717163	32.58552
20.553617	-30.076815
21.512232	-33.792942
18.774607	31.812563
4.373649	6.6468453
22.671688	-29.288366
22.869926	-32.121025
23.146488	-28.980976
19.69134	-29.317211
22.222643	-33.939137
22.751945	-27.939438
19.9716	31.82959
